REG_ID,BAT_ID,SORTORDER
125,8,1056
125,15,1057
125,18,1058
125,13,1059
125,33,1060
126,392,1061
126,595,1062
126,593,1063
126,525,1064
126,542,1065
126,577,1066
126,581,1067
126,618,1068
126,594,1069
126,573,1070
126,523,1071
126,584,1072
126,624,1073
126,540,1074
126,531,1075
126,597,1076
126,564,1077
126,529,1078
126,607,1079
126,609,1080
126,644,1081
126,605,1082
126,563,1083
126,569,1084
126,494,1085
126,587,1086
126,582,1087
126,500,1088
126,606,1089
126,517,1090
126,641,1091
126,507,1092
126,474,1093
126,461,1094
126,548,1095
126,626,1096
126,515,1097
126,570,1098
126,612,1099
126,625,1100
126,477,1101
126,603,1102
126,555,1103
126,339,1104
126,571,1105
126,590,1106
126,497,1107
126,638,1108
126,558,1109
126,588,1110
126,541,1111
126,496,1112
126,578,1113
126,501,1114
126,579,1115
126,468,1116
126,591,1117
126,478,1118
126,633,1119
126,589,1120
126,537,1121
126,490,1122
126,636,1123
126,530,1124
126,613,1125
126,634,1126
126,498,1127
126,481,1128
126,611,1129
126,459,1130
126,602,1131
126,576,1132
126,547,1133
126,575,1134
126,572,1135
126,550,1136
126,552,1137
126,510,1138
126,476,1139
126,585,1140
126,519,1141
126,557,1142
126,464,1143
126,574,1144
126,630,1145
126,480,1146
126,506,1147
126,568,1148
126,608,1149
126,521,1150
126,513,1151
126,631,1152
126,502,1153
126,627,1154
126,551,1155
126,486,1156
126,632,1157
126,565,1158
126,586,1159
126,643,1160
126,621,1161
126,596,1162
126,562,1163
126,472,1164
126,546,1165
126,642,1166
126,508,1167
126,470,1168
126,598,1169
126,614,1170
126,549,1171
126,469,1172
126,516,1173
126,617,1174
126,629,1175
126,601,1176
126,544,1177
126,528,1178
126,492,1179
126,640,1180
126,553,1181
126,465,1182
126,533,1183
126,483,1184
126,545,1185
126,484,1186
126,534,1187
126,485,1188
126,473,1189
126,495,1190
126,526,1191
126,499,1192
126,554,1193
126,580,1194
126,482,1195
126,475,1196
126,543,1197
126,566,1198
126,493,1199
126,538,1200
126,610,1201
126,491,1202
126,463,1203
126,503,1204
126,460,1205
126,467,1206
126,639,1207
126,599,1208
126,604,1209
126,466,1210
126,462,1211
126,560,1212
126,524,1213
126,567,1214
