REG_ID,BAT_ID,SORTORDER
102,115,351342
102,116,351755
102,117,352426
102,158,353685
102,118,354274
102,120,354919
102,121,354927
102,122,355146
102,161,355150
102,162,355155
102,163,355191
102,170,355205
102,220,355235
102,221,355248
102,165,355250
102,112,355266
102,226,355274
102,180,355278
102,181,355279
102,475,355284
102,476,355286
102,477,355291
102,478,355306
102,479,355312
102,157,355322
102,113,356086
102,159,356534
102,160,357042
104,144,357300
104,109,357321
104,110,358307
104,111,358661
104,157,358696
104,165,359064
104,158,359077
104,226,359087
104,113,359088
104,114,359755
104,115,360310
104,116,361358
104,117,361494
104,118,361511
104,481,361749
106,109,361791
106,110,363393
106,111,363814
106,112,363865
106,144,364128
106,113,364139
106,114,365387
106,115,366332
106,116,367306
106,117,367313
106,118,367314
106,120,367372
108,174,367399
108,109,367410
108,110,368724
108,111,368768
108,114,368798
108,115,369648
108,116,370312
108,484,371133
108,118,371146
140,651,516421
140,652,516445
140,653,516464
140,654,516537
142,109,516552
142,110,517961
142,111,519265
142,113,519300
142,114,520006
142,115,520632
142,116,520882
142,144,520890
142,598,520940
142,656,520941
142,562,520944
142,563,521145
142,657,521180
142,658,521206
144,109,521209
144,110,522068
144,111,523189
144,112,523271
144,120,523292
144,121,523990
144,122,524981
144,161,525098
144,163,525104
144,660,525730
144,124,526407
144,125,527071
144,126,527633
144,127,528279
144,128,528973
144,129,529602
144,661,529888
144,662,530050
144,663,530059
144,664,530066
144,144,530073
144,159,530090
144,160,530570
144,180,530815
144,183,530828
144,166,531465
144,665,531726
144,187,531733
144,167,532299
144,406,532614
144,666,532617
144,189,533160
144,667,533285
144,117,533317
144,190,533451
144,191,533725
144,668,533963
144,669,533968
144,608,534422
144,585,534542
144,670,534552
144,671,534553
144,170,534554
144,220,534576
144,672,534579
144,172,534590
144,173,534604
146,109,534609
146,674,534879
146,220,534923
146,144,534933
146,110,535051
146,675,536666
146,112,536717
146,676,537160
146,113,537166
146,308,537542
146,114,537942
146,115,538097
146,116,538579
146,117,538944
146,608,539940
146,120,540079
146,121,541081
146,122,542152
146,161,543184
138,610,499065
138,120,499071
138,121,499614
138,122,500262
138,161,500926
138,162,500949
138,163,500953
138,123,501602
138,124,502209
138,125,502488
138,126,502636
138,127,502950
138,128,503290
138,129,503293
138,130,503828
138,131,503838
138,132,503870
138,133,503921
138,266,503925
138,267,503932
138,341,503959
138,342,503968
138,134,503978
138,611,503990
138,425,503991
138,291,503994
138,612,503999
138,613,504015
1,1,1
1,2,150
1,3,251
1,4,326
1,5,754
1,6,872
1,7,1062
1,8,1355
1,9,1530
1,10,1708
1,11,1894
1,12,1996
1,13,2153
1,14,2301
1,15,2477
1,16,2622
1,17,2855
1,18,2988
1,19,3153
1,20,3246
1,21,3296
1,22,3379
1,23,3430
1,24,3442
1,25,3448
1,26,3456
1,27,3461
1,28,3466
1,29,3476
1,30,3485
1,31,3495
1,32,3508
1,33,3518
1,34,3527
1,35,3557
1,36,3585
1,37,3677
1,38,3705
1,39,3715
1,40,3794
1,41,3856
1,42,3990
1,43,4014
1,44,4050
1,45,4073
1,46,4114
1,47,4146
1,48,4180
1,49,4190
1,50,4225
1,51,4353
1,52,4405
1,53,4493
1,54,4653
1,55,4698
1,56,4731
1,57,4819
1,58,4909
1,59,4960
1,60,5012
1,61,5115
1,62,5249
1,63,5306
1,64,5401
1,65,5630
1,66,5776
1,67,5885
