ID,Name
784,"20th (County of London) Battalion (Blackheath and Woolwich)."
785,"21st (County of London) Battalion (1st Surrey Rifles)."
786,"23rd (County of London) Battalion."
787,"22nd (County of London) Battalion (The Queen's)."
788,"24th (County of London) Battalion (The Queen's)."
791,"Royal Guernsey Light Infantry. 1st (Service) Battalion."
792,"Royal Guernsey Light Infantry. 2nd (Reserve) Battalion."
793,"Royal Jersey Garrison Battalion."
83,"Cheshire Yeomanry (Earl of Chester Hussars)."
84,"Royal 1st Devon Yeomanry (Hussars)."
85,"Royal North Devon Hussars Yeomanry."
86,"Dorset (Queen's Own) Yeomanry."
87,"Royal Gloucestershire Hussars, Yeomanry."
88,"Royal East Kent Yeomanry. (The Duke of Connaught's Own Mounted Rifles)."
89,"Queen's Own West Kent Hussars."
90,"Lancashire Hussars."
91,"Leicestershire Yeomanry."
92,"1st County of London Yeomanry. (Middlesex Duke of Cambridge's Hussars)."
93,"3rd County of London Yeomanry. (Sharpshooters Hussars)."
94,"Northumberland Hussars."
95,"Notts Yeomanry (Sherwood Rangers)."
96,"South Nottinghamshire Hussars."
97,"Queen's Own Oxfordshire Hussars."
98,"Pembroke Yeomanry."
99,"West Somerset Hussars"
100,"Staffordshire Yeomanry (Queen's Own Royal Regiment)."
101,"Suffolk Yeomanry (The Duke of York's Own Loyal Suffolk Hussars)."
102,"Warwickshire Yeomanry."
103,"Westmoreland and Cumberland Hussars."
104,"Royal Wiltshire Hussars. (Prince of Wales' Own Royal Regiment.)"
105,"Worcester Yeomanry. (The Queen's Own Worcestershire Hussars.)"
106,"Yorkshire Hussars. (Alexandra Princess of Wales' Own.)"
107,"Imperial Camel Corps."
109,"1st Battalion."
110,"2nd Battalion."
111,"3rd Battalion."
112,"4th Battalion."
113,"5th Battalion."
114,"6th Battalion."
115,"7th Battalion."
116,"8th Battalion."
117,"9th Battalion."
118,"10th Battalion."
119,"10th Battalion (Intelligence Police)."
120,"11th Battalion."
121,"12th Battalion."
122,"13th Battalion."
123,"17th Battalion."
124,"18th Battalion."
125,"19th Battalion."
126,"20th Battalion."
127,"21st Battalion."
128,"22nd Battalion."
129,"23rd Battalion."
130,"24th Battalion."
131,"25th Battalion."
132,"26th Battalion."
133,"27th Battalion."
134,"32nd Battalion."
135,"34th Battalion."
136,"35th Battalion."
137,"36th Battalion."
138,"37th Battalion."
139,"38th, 39th and 40th Battalions (Jewish)."
140,"43rd Garrison Battalion."
141,"44th Garrison Battalion."
142,"45th Battalion."
143,"46th Battalion."
144,"Depot."
145,"Posted 1st London Regiment."
146,"Posted 1/2nd London Regiment"
147,"Posted 2/2nd London."
148,"Posted 3rd London Regiment."
149,"Posted 1/4th London Regiment."
150,"Posted 2/4th London."
151,"31st (Training Reserve) Battalion."
152,"32nd (Training Reserve) Battalion."
153,"103rd (Training Reserve) Battalion."
154,"105th (Training Reserve) Battalion."
155,"24th (Recruits Distribution) Battalion."
156,"9th City of London Q.V. Rifles."
157,"1/4th Battalion."
158,"2/4th Battalion."
159,"1/5th Battalion."
160,"2/5th Battalion."
161,"14th Battalion."
162,"15th Battalion."
163,"16th Battalion."
165,"4th Reserve Battalion."
166,"2/6th Battalion."
167,"2/7th Battalion."
168,"6/7th Battalion."
169,"8/10th Battalion."
170,"1st Garrison Battalion."
171,"51st Battalion."
172,"52nd Battalion."
173,"53rd Battalion."
174,"Depot"
175,"1/14th London Regiment."
176,"2/14th London Regiment."
177,"Attached King's African Rifles."
178,"Attached West African Regiment."
179,"Attached Oxfordshire and Buckinghamshire Regiment."
180,"5th Reserve Battalion."
181,"3/5th Battalion."
